season_order,episode_number_global,season_number,seaons_label,episode_number,episode_name,person_name,type,type_short,type_number,mentioned_by,quote/context,type_of_issue,special_category,special_category_first
1,1,1,1,1,Cartman Gets an Anal Probe,Christopher Columbus,mentioned,m,3,Mr. Garrison,"""Christopher Columbus discovered America and was the Indians' best friend. He helped the Indians win their war against Fredrick Douglass and a freed the Hebrews from Napoleon and discovered France.""", ,,
1,1,1,1,1,Cartman Gets an Anal Probe,Frederick Douglass,mentioned,m,3,Mr. Garrison,"""Christopher Columbus discovered America and was the Indians' best friend. He helped the Indians win their war against Fredrick Douglass and a freed the Hebrews from Napoleon and discovered France.""", ,,
1,1,1,1,1,Cartman Gets an Anal Probe,Napoleon,mentioned,m,3,Mr. Garrison,"""Christopher Columbus discovered America and was the Indians' best friend. He helped the Indians win their war against Fredrick Douglass and a freed the Hebrews from Napoleon and discovered France.""", ,,
1,1,1,1,1,Cartman Gets an Anal Probe,Tom Selleck,mentioned,m,3,Cartman,"""Hey, that kind of looks like... Tom Selleck.""", ,,
1,1,1,1,1,Cartman Gets an Anal Probe,David Caruso,mentioned,m,3,Kyle,"""Ike! Do your impersonation of David Caruso's career!""", ,,
1,1,1,1,1,Cartman Gets an Anal Probe,Scott Baio,mentioned,m,3,Cartman,"""And then there was... hundreds of cows and aliens, and then I went up on the ship and Scott Baio gave me pinkeye.""", ,,
1,1,1,1,1,Cartman Gets an Anal Probe,Kathie Lee Gifford,mentioned,m,3,,"Writing on the board behind Mr. Marrison (obstructed): ""I'm not positive … Lee Gifford is much older than…""", ,,
1,2,1,1,2,Volcano,Patrick Duffy,appeared,a,1,,"Appears as a leg of Scuzzlebutt, who gets shot by Stan.", ,,
1,3,1,1,3,Weight Gain 4000,Bruce McCandless II,depicted,d,2,,The astronaut on the photo in Mr. Garrison's classroom., ,,
1,3,1,1,3,Weight Gain 4000,Kathie Lee Gifford,appeared,a,1,,Visits South Park to participate in an award ceremony. Also makes love to Chef., ,,
1,3,1,1,3,Weight Gain 4000,Adolf Hitler,mentioned,m,3,Wendy,"""Hitler was famous too.""", ,,
1,3,1,1,3,Weight Gain 4000,Frank Gifford,mentioned,m,3,Chef,"""Well, three times bigger than Frank Gifford's, anyway.""", ,,
1,3,1,1,3,Weight Gain 4000,Mary Tyler Moore,mentioned,m,3,Chef,"""I don't mean special in a Mary Tyler Moore way.""", ,,
1,3,1,1,3,Weight Gain 4000,Henry David Thoreau,mentioned,m,3,Wendy,"""It's actually nothing more than Walden, with Henry David Thoreau's name crossed out, and Cartman's name written in its place.""", ,,
1,3,1,1,3,Weight Gain 4000,Geraldo Rivera,appeared,a,1,,"""Obesity, adiposity, corpulence... Whatever word you use, it represents one thing: Being a big fat-ass. """, ,,
1,4,1,1,4,Big Gay Al's Big Gay Boat Ride,Barbra Streisand,mentioned,m,3,Bill Allen,"""Huh huh, meh, yeah, maybe you should take him to a Barbra Streisand concert.""", ,,
1,4,1,1,4,Big Gay Al's Big Gay Boat Ride,John Stamos,mentioned,m,3,Bookie,"""You haven't heard?! John Stamos' older brother Richard Stamos is gonna sing 'Loving You'.""", ,,
1,4,1,1,4,Big Gay Al's Big Gay Boat Ride,Rodney King,mentioned,m,3,Sport commentator,"""Why, I haven't seen a beating like that since Rodney King.""", ,,
1,4,1,1,4,Big Gay Al's Big Gay Boat Ride,Hugh Grant,mentioned,m,3,Sport commentator,"""Oh no, I haven't seen an Englishman take a blow like that since Hugh Grant.""", ,,
1,4,1,1,4,Big Gay Al's Big Gay Boat Ride,Brian Boitano,appeared,a,1,,Appears during the boat ride song., ,,
1,5,1,1,5,An Elephant Makes Love to a Pig,Elton John,appeared,a,1,,"""Oooo tonight. Oooo it's all right. Oooo tonight is right for love, love gravy.""", ,,
1,6,1,1,6,Death,Jack Kevorkian,mentioned,m,3,Kyle,"""Yeah, there's this guy named Jack Leborkian that goes around and murders people that ask him to, and he doesn't get in any trouble at all.""", ,,
1,6,1,1,6,Death,Doug Herzog,appeared,a,1,,"John Warsog, the head of Cartoon Central, is based on Doug Herzog, who was the president of Comedy Central at the time of episode airing.",parody,,
1,6,1,1,6,Death,Suzanne Somers,appeared,a,1,,"""You are the one behind all these shenanigans.""", ,,
1,6,1,1,6,Death,Harrison Schmitt,depicted,d,2,,Collects moon rock on the photo in Mr. Garrison's classroom., ,schmitt,TRUE
1,7,1,1,7,Pinkeye,Adolf Hitler,appeared,a,1,,Appears on TV in an educational video., ,,
1,7,1,1,7,Pinkeye,Jackie Collins,mentioned,m,3,Mr. Garrison,"""Children, since today is Halloween, I thought we should learn something about the great horror writer, Jackie Collins.""", ,,
1,7,1,1,7,Pinkeye,Richard Nixon,depicted,d,2,,Liane Cartman decorates the house for Halloween and places a poster of Richard Nixon on the door., ,,
1,7,1,1,7,Pinkeye,Elvis Presley,mentioned,m,3,Principal Victoria,"""Ooh, love the Elvis costume, Chef.""", ,,
1,7,1,1,7,Pinkeye,Evel Knievel,mentioned,m,3,Chef,"""Elvis? I'm Evel Knievel.""", ,,
1,7,1,1,7,Pinkeye,Tina Yothers,appeared,a,1,,Celebrity Judge at a Halloween Costume Contest., ,,
1,7,1,1,7,Pinkeye,Edward James Olmos,mentioned,m,3,Mr. Garrison,"""Okay, the second place award for best costume goes to... Kenny, for his Edward James Olmos costume.""", ,,
1,7,1,1,7,Pinkeye,Joseph Stalin,mentioned,m,3,Adolf Hitler,"""Schnell ach. Lovental bros lieben. Alle Menschen werden Brüder. Doktor Stalin? Alarm! Menchoss? Zellan vei zamboa-""", ,,
1,8,1,1,8,Starvin' Marvin,Sally Struthers,appeared,a,1,,"When the government authorities mistake Cartman for a starving African child and send him to Ethiopia, he discovers Sally Struthers is hoarding snacks in a small building.", ,,
1,8,1,1,8,Starvin' Marvin,Engelbert Humperdinck,mentioned,m,3,Mr. Garrison,"""That's right, Mr. Garrison, Englebert Humperdink was the first person on the moon, who was the second?""", ,,
1,8,1,1,8,Starvin' Marvin,Vanessa Redgrave,mentioned,m,3,Chef,"""Uhh, I seee...an extreme close up of ...Vanessa Redgrave's private parts.""", ,,
